id,levelNumber,title,theme,category,pieces,difficulty,sourceProvider,sourceSearchUrl,localImage,licenseStatus,credit
pv-001-taj-mahal,1,Taj Mahal,World Places & Monuments,world_places,4,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Taj%20Mahal,assets/puzzle-library/world_places/pv-001-taj-mahal/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-002-great-wall-of-china,2,Great Wall of China,World Places & Monuments,world_places,4,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Great%20Wall%20of%20China,assets/puzzle-library/world_places/pv-002-great-wall-of-china/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-003-machu-picchu,3,Machu Picchu,World Places & Monuments,world_places,6,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Machu%20Picchu,assets/puzzle-library/world_places/pv-003-machu-picchu/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-004-pyramids-of-giza,4,Pyramids of Giza,World Places & Monuments,world_places,6,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Pyramids%20of%20Giza,assets/puzzle-library/world_places/pv-004-pyramids-of-giza/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-005-colosseum,5,Colosseum,World Places & Monuments,world_places,9,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Colosseum,assets/puzzle-library/world_places/pv-005-colosseum/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-006-eiffel-tower,6,Eiffel Tower,World Places & Monuments,world_places,9,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Eiffel%20Tower,assets/puzzle-library/world_places/pv-006-eiffel-tower/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-007-stonehenge,7,Stonehenge,World Places & Monuments,world_places,12,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Stonehenge,assets/puzzle-library/world_places/pv-007-stonehenge/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-008-petra,8,Petra,World Places & Monuments,world_places,12,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Petra,assets/puzzle-library/world_places/pv-008-petra/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-009-angkor-wat,9,Angkor Wat,World Places & Monuments,world_places,16,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Angkor%20Wat,assets/puzzle-library/world_places/pv-009-angkor-wat/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-010-chichen-itza,10,Chichen Itza,World Places & Monuments,world_places,16,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Chichen%20Itza,assets/puzzle-library/world_places/pv-010-chichen-itza/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-011-acropolis-of-athens,11,Acropolis of Athens,World Places & Monuments,world_places,20,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Acropolis%20of%20Athens,assets/puzzle-library/world_places/pv-011-acropolis-of-athens/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-012-sagrada-familia,12,Sagrada Familia,World Places & Monuments,world_places,20,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Sagrada%20Familia,assets/puzzle-library/world_places/pv-012-sagrada-familia/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-013-statue-of-liberty,13,Statue of Liberty,World Places & Monuments,world_places,24,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Statue%20of%20Liberty,assets/puzzle-library/world_places/pv-013-statue-of-liberty/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-014-christ-the-redeemer,14,Christ the Redeemer,World Places & Monuments,world_places,24,Easy,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Christ%20the%20Redeemer,assets/puzzle-library/world_places/pv-014-christ-the-redeemer/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-015-sydney-opera-house,15,Sydney Opera House,World Places & Monuments,world_places,30,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Sydney%20Opera%20House,assets/puzzle-library/world_places/pv-015-sydney-opera-house/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-016-mount-fuji,16,Mount Fuji,World Places & Monuments,world_places,30,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Mount%20Fuji,assets/puzzle-library/world_places/pv-016-mount-fuji/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-017-serengeti-national-park,17,Serengeti National Park,World Places & Monuments,world_places,36,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Serengeti%20National%20Park,assets/puzzle-library/world_places/pv-017-serengeti-national-park/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-018-galapagos-islands,18,Galapagos Islands,World Places & Monuments,world_places,36,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Galapagos%20Islands,assets/puzzle-library/world_places/pv-018-galapagos-islands/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-019-grand-canyon,19,Grand Canyon,World Places & Monuments,world_places,42,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Grand%20Canyon,assets/puzzle-library/world_places/pv-019-grand-canyon/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-020-victoria-falls,20,Victoria Falls,World Places & Monuments,world_places,42,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Victoria%20Falls,assets/puzzle-library/world_places/pv-020-victoria-falls/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-021-borobudur,21,Borobudur,World Places & Monuments,world_places,25,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Borobudur,assets/puzzle-library/world_places/pv-021-borobudur/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-022-lalibela-churches,22,Lalibela Churches,World Places & Monuments,world_places,26,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Lalibela%20Churches,assets/puzzle-library/world_places/pv-022-lalibela-churches/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-023-alhambra,23,Alhambra,World Places & Monuments,world_places,27,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Alhambra,assets/puzzle-library/world_places/pv-023-alhambra/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-024-neuschwanstein-castle,24,Neuschwanstein Castle,World Places & Monuments,world_places,28,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Neuschwanstein%20Castle,assets/puzzle-library/world_places/pv-024-neuschwanstein-castle/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-025-hagia-sophia,25,Hagia Sophia,World Places & Monuments,world_places,30,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Hagia%20Sophia,assets/puzzle-library/world_places/pv-025-hagia-sophia/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-026-forbidden-city,26,Forbidden City,World Places & Monuments,world_places,31,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Forbidden%20City,assets/puzzle-library/world_places/pv-026-forbidden-city/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-027-himeji-castle,27,Himeji Castle,World Places & Monuments,world_places,32,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Himeji%20Castle,assets/puzzle-library/world_places/pv-027-himeji-castle/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-028-uluru,28,Uluru,World Places & Monuments,world_places,33,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Uluru,assets/puzzle-library/world_places/pv-028-uluru/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-029-iguazu-falls,29,Iguazu Falls,World Places & Monuments,world_places,34,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Iguazu%20Falls,assets/puzzle-library/world_places/pv-029-iguazu-falls/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-030-yellowstone-national-park,30,Yellowstone National Park,World Places & Monuments,world_places,35,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Yellowstone%20National%20Park,assets/puzzle-library/world_places/pv-030-yellowstone-national-park/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-031-banff-national-park,31,Banff National Park,World Places & Monuments,world_places,36,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Banff%20National%20Park,assets/puzzle-library/world_places/pv-031-banff-national-park/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-032-santorini,32,Santorini,World Places & Monuments,world_places,37,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Santorini,assets/puzzle-library/world_places/pv-032-santorini/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-033-venice-canals,33,Venice Canals,World Places & Monuments,world_places,38,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Venice%20Canals,assets/puzzle-library/world_places/pv-033-venice-canals/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-034-tower-bridge,34,Tower Bridge,World Places & Monuments,world_places,39,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Tower%20Bridge,assets/puzzle-library/world_places/pv-034-tower-bridge/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-035-burj-khalifa,35,Burj Khalifa,World Places & Monuments,world_places,40,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Burj%20Khalifa,assets/puzzle-library/world_places/pv-035-burj-khalifa/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-036-prague-castle,36,Prague Castle,World Places & Monuments,world_places,41,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Prague%20Castle,assets/puzzle-library/world_places/pv-036-prague-castle/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-037-meteora-monasteries,37,Meteora Monasteries,World Places & Monuments,world_places,42,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Meteora%20Monasteries,assets/puzzle-library/world_places/pv-037-meteora-monasteries/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-038-bagan-temples,38,Bagan Temples,World Places & Monuments,world_places,43,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Bagan%20Temples,assets/puzzle-library/world_places/pv-038-bagan-temples/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-039-moai-of-easter-island,39,Moai of Easter Island,World Places & Monuments,world_places,44,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Moai%20of%20Easter%20Island,assets/puzzle-library/world_places/pv-039-moai-of-easter-island/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-040-nazca-lines,40,Nazca Lines,World Places & Monuments,world_places,45,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Nazca%20Lines,assets/puzzle-library/world_places/pv-040-nazca-lines/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-041-mount-kilimanjaro,41,Mount Kilimanjaro,World Places & Monuments,world_places,46,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Mount%20Kilimanjaro,assets/puzzle-library/world_places/pv-041-mount-kilimanjaro/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-042-table-mountain,42,Table Mountain,World Places & Monuments,world_places,47,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Table%20Mountain,assets/puzzle-library/world_places/pv-042-table-mountain/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-043-niagara-falls,43,Niagara Falls,World Places & Monuments,world_places,48,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Niagara%20Falls,assets/puzzle-library/world_places/pv-043-niagara-falls/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-044-golden-gate-bridge,44,Golden Gate Bridge,World Places & Monuments,world_places,49,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Golden%20Gate%20Bridge,assets/puzzle-library/world_places/pv-044-golden-gate-bridge/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-045-mount-rushmore,45,Mount Rushmore,World Places & Monuments,world_places,50,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Mount%20Rushmore,assets/puzzle-library/world_places/pv-045-mount-rushmore/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-046-louvre-museum,46,Louvre Museum,World Places & Monuments,world_places,51,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Louvre%20Museum,assets/puzzle-library/world_places/pv-046-louvre-museum/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-047-brandenburg-gate,47,Brandenburg Gate,World Places & Monuments,world_places,52,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Brandenburg%20Gate,assets/puzzle-library/world_places/pv-047-brandenburg-gate/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-048-red-square,48,Red Square,World Places & Monuments,world_places,53,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Red%20Square,assets/puzzle-library/world_places/pv-048-red-square/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-049-st-basil-cathedral,49,St Basil Cathedral,World Places & Monuments,world_places,54,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=St%20Basil%20Cathedral,assets/puzzle-library/world_places/pv-049-st-basil-cathedral/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-050-potala-palace,50,Potala Palace,World Places & Monuments,world_places,56,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Potala%20Palace,assets/puzzle-library/world_places/pv-050-potala-palace/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-051-leshan-giant-buddha,51,Leshan Giant Buddha,World Places & Monuments,world_places,57,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Leshan%20Giant%20Buddha,assets/puzzle-library/world_places/pv-051-leshan-giant-buddha/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-052-mysore-palace,52,Mysore Palace,World Places & Monuments,world_places,58,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Mysore%20Palace,assets/puzzle-library/world_places/pv-052-mysore-palace/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-053-hampi-ruins,53,Hampi Ruins,World Places & Monuments,world_places,59,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Hampi%20Ruins,assets/puzzle-library/world_places/pv-053-hampi-ruins/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-054-konark-sun-temple,54,Konark Sun Temple,World Places & Monuments,world_places,60,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Konark%20Sun%20Temple,assets/puzzle-library/world_places/pv-054-konark-sun-temple/image.jpg,pending-download-check,Pending asset download and attribution verification
